naptanID,commonName
940GZZLUCGT,Canning Town Underground Station
940GZZLUCPK,Canons Park Underground Station
940GZZLUCWR,Canada Water Underground Station
940GZZLUCYF,Canary Wharf Underground Station
940GZZLUDOH,Dollis Hill Underground Station
940GZZLUFYR,Finchley Road Underground Station
940GZZLUGPK,Green Park Underground Station
940GZZLUKBN,Kilburn Underground Station
940GZZLUKBY,Kingsbury Underground Station
940GZZLULNB,London Bridge Underground Station
940GZZLUNDN,Neasden Underground Station
940GZZLUNGW,North Greenwich Underground Station
940GZZLUQBY,Queensbury Underground Station
940GZZLUSJW,St. John's Wood Underground Station
940GZZLUSTM,Stanmore Underground Station
940GZZLUSWC,Swiss Cottage Underground Station
940GZZLUSWK,Southwark Underground Station
940GZZLUWHP,West Hampstead Underground Station
940GZZLUWIG,Willesden Green Underground Station
940GZZLUWYP,Wembley Park Underground Station
940GZZLUAMS,Amersham Underground Station
940GZZLUCAL,Chalfont & Latimer Underground Station
940GZZLUCSM,Chesham Underground Station
940GZZLUCXY,Croxley Underground Station
940GZZLUCYD,Chorleywood Underground Station
940GZZLUEAE,Eastcote Underground Station
940GZZLUHGD,Hillingdon Underground Station
940GZZLUHOH,Harrow-on-the-Hill Underground Station
940GZZLUICK,Ickenham Underground Station
940GZZLUMPK,Moor Park Underground Station
940GZZLUNHA,North Harrow Underground Station
940GZZLUNKP,Northwick Park Underground Station
940GZZLUNOW,Northwood Underground Station
940GZZLUNWH,Northwood Hills Underground Station
940GZZLUPNR,Pinner Underground Station
940GZZLUPRD,Preston Road Underground Station
940GZZLURKW,Rickmansworth Underground Station
940GZZLURSM,Ruislip Manor Underground Station
940GZZLURSP,Ruislip Underground Station
940GZZLURYL,Rayners Lane Underground Station
940GZZLUUXB,Uxbridge Underground Station
940GZZLUWAF,Watford Underground Station
940GZZLUWHW,West Harrow Underground Station
940GZZLUACY,Archway Underground Station
940GZZLUAGL,Angel Underground Station
940GZZLUBLM,Balham Underground Station
940GZZLUBOR,Borough Underground Station
940GZZLUBTK,Burnt Oak Underground Station
940GZZLUBTX,Brent Cross Underground Station
940GZZLUBZP,Belsize Park Underground Station
940GZZLUCFM,Chalk Farm Underground Station
940GZZLUCND,Colindale Underground Station
940GZZLUCPC,Clapham Common Underground Station
940GZZLUCPN,Clapham North Underground Station
940GZZLUCPS,Clapham South Underground Station
940GZZLUCSD,Colliers Wood Underground Station
940GZZLUCTN,Camden Town Underground Station
940GZZLUEFY,East Finchley Underground Station
940GZZLUEGW,Edgware Underground Station
940GZZLUEUS,Euston Underground Station
940GZZLUFYC,Finchley Central Underground Station
940GZZLUGDG,Goodge Street Underground Station
940GZZLUGGN,Golders Green Underground Station
940GZZLUHBT,High Barnet Underground Station
940GZZLUHCL,Hendon Central Underground Station
940GZZLUHGT,Highgate Underground Station
940GZZLUHTD,Hampstead Underground Station
940GZZLUKNG,Kennington Underground Station
940GZZLUKSH,Kentish Town Underground Station
940GZZLULSQ,Leicester Square Underground Station
940GZZLUMDN,Morden Underground Station
940GZZLUMHL,Mill Hill East Underground Station
940GZZLUMTC,Mornington Crescent Underground Station
940GZZLUODS,Old Street Underground Station
940GZZLUOVL,Oval Underground Station
940GZZLUSKW,Stockwell Underground Station
940GZZLUSWN,South Wimbledon Underground Station
940GZZLUTAW,Totteridge & Whetstone Underground Station
940GZZLUTBC,Tooting Bec Underground Station
940GZZLUTBY,Tooting Broadway Underground Station
940GZZLUTFP,Tufnell Park Underground Station
940GZZLUWFN,West Finchley Underground Station
940GZZLUWOP,Woodside Park Underground Station
940GZZLUWRR,Warren Street Underground Station
940GZZLUALP,Alperton Underground Station
940GZZLUASG,Arnos Grove Underground Station
940GZZLUASL,Arsenal Underground Station
940GZZLUBDS,Bounds Green Underground Station
940GZZLUBOS,Boston Manor Underground Station
940GZZLUCAR,Caledonian Road Underground Station
940GZZLUCGN,Covent Garden Underground Station
940GZZLUCKS,Cockfosters Underground Station
940GZZLUFPK,Finsbury Park Underground Station
940GZZLUHNX,Hatton Cross Underground Station
940GZZLUHPC,Hyde Park Corner Underground Station
940GZZLUHR5,Heathrow Terminal 5 Underground Station
940GZZLUHRC,Heathrow Terminals 2 & 3 Underground Station
940GZZLUHWC,Hounslow Central Underground Station
940GZZLUHWE,Hounslow East Underground Station
940GZZLUHWT,Hounslow West Underground Station
940GZZLUHWY,Holloway Road Underground Station
940GZZLUKNB,Knightsbridge Underground Station
940GZZLUMRH,Manor House Underground Station
940GZZLUNEN,North Ealing Underground Station
940GZZLUNFD,Northfields Underground Station
940GZZLUOAK,Oakwood Underground Station
940GZZLUOSY,Osterley Underground Station
940GZZLUPKR,Park Royal Underground Station
940GZZLURSQ,Russell Square Underground Station
940GZZLUSEA,South Ealing Underground Station
940GZZLUSGT,Southgate Underground Station
940GZZLUSHH,South Harrow Underground Station
940GZZLUSUH,Sudbury Hill Underground Station
940GZZLUSUT,Sudbury Town Underground Station
940GZZLUTPN,Turnpike Lane Underground Station
940GZZLUWOG,Wood Green Underground Station
940GZZLUBLR,Blackhorse Road Underground Station
940GZZLUBXN,Brixton Underground Station
940GZZLUHAI,Highbury & Islington Underground Station
940GZZLUPCO,Pimlico Underground Station
940GZZLUSVS,Seven Sisters Underground Station
940GZZLUTMH,Tottenham Hale Underground Station
940GZZLUVXL,Vauxhall Underground Station
940GZZLUWWL,Walthamstow Central Underground Station
